scientificName,decimalLongitude,decimalLatitude
Desmophyllum pertusum,-79.69999695,30.51000023
Desmophyllum pertusum,6.933228,62.772488
Desmophyllum pertusum,-6.329999924,60.33000183
Desmophyllum pertusum,11.0867,63.9017
Desmophyllum pertusum,-79.76021,28.31952
Desmophyllum pertusum,4.119999886,62.72999954
Desmophyllum pertusum,5.199999809,60.15000153
Desmophyllum pertusum,10.75,66.8667
Desmophyllum pertusum,-79.72311,28.45862
Desmophyllum pertusum,14.45365499,68.89862237
Desmophyllum pertusum,-121.90007,36.76
Desmophyllum pertusum,10.561157,67.058108
Desmophyllum pertusum,-6,47
Desmophyllum pertusum,-13.96000004,56.70000076
Desmophyllum pertusum,-44.75,-25.29999924
Desmophyllum pertusum,7.628082871,63.53158528
Desmophyllum pertusum,14.35725408,68.93157011
Desmophyllum pertusum,14.40510707,68.92937469
Desmophyllum pertusum,-5,46
Desmophyllum pertusum,8.5,64.09999847
Desmophyllum pertusum,-89.79862,28.19397
Desmophyllum pertusum,-88.33000183,29.15999985
Desmophyllum pertusum,-11.53999996,52.44499969
Desmophyllum pertusum,8.029999733,64.06999969
Desmophyllum pertusum,-75.79171,34.32389
Desmophyllum pertusum,-79.6278,28.46306
Desmophyllum pertusum,-15.52999973,55.61000061
Desmophyllum pertusum,-7.449999809,56.75
Desmophyllum pertusum,-25.87999916,62.36000061
Desmophyllum pertusum,6.594,64.6236
Desmophyllum pertusum,-6,47
Desmophyllum pertusum,-79.61334,28.1616
Desmophyllum pertusum,-91.25289917,26.91635323
Desmophyllum pertusum,-11.52000046,55.18000031
Desmophyllum pertusum,10.72999954,63.63999939
Desmophyllum pertusum,-79.61411,28.04041
Desmophyllum pertusum,7.869999886,63.91999817
Desmophyllum pertusum,-10.22999954,60.86000061
Desmophyllum pertusum,-9,48
Desmophyllum pertusum,-84.73213,26.20377
Desmophyllum pertusum,-79.66000366,29.01000023
Desmophyllum pertusum,5.239999771,62.56000137
Desmophyllum pertusum,5.150000095,63.04999924
Desmophyllum pertusum,-79.62145,28.79171
Desmophyllum pertusum,14.40942968,68.931218
Desmophyllum pertusum,-79.7587,28.32094
Desmophyllum pertusum,7.960000038,64.08000183
Desmophyllum pertusum,-15.64999962,56.15999985
Desmophyllum pertusum,4.929999828,63
Desmophyllum pertusum,6.050000191,65.52999878
Desmophyllum pertusum,-9.5,62.04999924
Desmophyllum pertusum,8.020000458,64.06999969
Desmophyllum pertusum,14.38536283,68.94194134
Desmophyllum pertusum,-15,55
Desmophyllum pertusum,8.022352,66.706706
