scientificName,decimalLongitude,decimalLatitude
Desmophyllum dianthus,-90.31999969,0.059999999
Desmophyllum dianthus,149.3999939,-38.31999969
Desmophyllum dianthus,-117.41155,32.64677
Desmophyllum dianthus,-117.96839,32.64031
Desmophyllum dianthus,-179.9138,-42.777
Desmophyllum dianthus,-119.48162,33.91775
Desmophyllum dianthus,178.142502,-40.039799
Desmophyllum dianthus,-119.49259,32.55682
Desmophyllum dianthus,165.75,-50.9667
Desmophyllum dianthus,-174.7196667,-44.13966667
Desmophyllum dianthus,177.2845,-37.134331
Desmophyllum dianthus,149.3068,-38.3777
Desmophyllum dianthus,-72.44999695,-42.34000015
Desmophyllum dianthus,-118.40625,32.71902
Desmophyllum dianthus,167.5599976,-44.66999817
Desmophyllum dianthus,-118.40639,32.71924
Desmophyllum dianthus,-119.30213,34.03783
Desmophyllum dianthus,173.7516937,-42.54169846
Desmophyllum dianthus,-81.01999664,23.39999962
Desmophyllum dianthus,-117.41808,32.65414
Desmophyllum dianthus,-118.40428,32.71423
Desmophyllum dianthus,178.5258,-35.3622
Desmophyllum dianthus,-119.4921,32.55569
Desmophyllum dianthus,170.4395,-51.9285
Desmophyllum dianthus,-117.96945,32.64014
Desmophyllum dianthus,-117.41395,32.6467
Desmophyllum dianthus,-117.40244,32.6251
Desmophyllum dianthus,147.1799927,-44.33000183
Desmophyllum dianthus,-119.48499,33.92096
Desmophyllum dianthus,-8.18500042,47.70333099
Desmophyllum dianthus,167.6300049,-50.63000107
Desmophyllum dianthus,5.340000153,43.29000092
Desmophyllum dianthus,175.8190002,-43.12099838
Desmophyllum dianthus,146.88717,-44.32985
Desmophyllum dianthus,149.3999939,-38.08330154
Desmophyllum dianthus,-117.41231,32.64373
Desmophyllum dianthus,179.707336,-43.344334
Desmophyllum dianthus,-119.47735,33.96458
Desmophyllum dianthus,-117.38179,32.77844
Desmophyllum dianthus,-12.85000038,35.11000061
Desmophyllum dianthus,-119.48504,33.92027
Desmophyllum dianthus,-119.4751,33.91844
Desmophyllum dianthus,-119.47371,33.91862
Desmophyllum dianthus,13.02000046,36.77999878
Desmophyllum dianthus,-67.6864,40.35692
Desmophyllum dianthus,170.1000061,-33.54999924
Desmophyllum dianthus,-179.7299957,-43.75999832
Desmophyllum dianthus,-9.3,33.09166667
Desmophyllum dianthus,164.5,-49.00999832
Desmophyllum dianthus,-179.491699,-48.325
Desmophyllum dianthus,-31.54999924,58.52999878
Desmophyllum dianthus,132.875,-5.486666667
Desmophyllum dianthus,176.2299957,-44.31999969
Desmophyllum dianthus,-59.23300171,-49.68299866
Desmophyllum dianthus,178.4478,-35.8573
Desmophyllum dianthus,178.143707,-40.039299
Desmophyllum dianthus,-177,-42.7
Desmophyllum dianthus,-119.49187,32.55529
Desmophyllum dianthus,178.5057,-35.36
Desmophyllum dianthus,-119.49844,32.56109
Desmophyllum dianthus,176.5561981,-41.29520035
Desmophyllum dianthus,-87.0708313,5.57667017
Desmophyllum dianthus,-156.66007,20.48685
Desmophyllum dianthus,-74.68000031,-50.13999939
Desmophyllum dianthus,-70.09999847,-20
Desmophyllum dianthus,179.239833,-43.727167
Desmophyllum dianthus,-119.5124969,33.96667099
Desmophyllum dianthus,148.55,-40.2
Desmophyllum dianthus,-119.47328,33.91852
Desmophyllum dianthus,167.5500031,-44.65999985
Desmophyllum dianthus,178.6499939,-43.06000137
Desmophyllum dianthus,-28.25333023,43.05332947
Desmophyllum dianthus,177.121338,-37.340164
Desmophyllum dianthus,-179,-43.74000168
Desmophyllum dianthus,-129.8000031,-54.83000183
Desmophyllum dianthus,172.9900055,-53.00999832
Desmophyllum dianthus,-29.85000038,59.72000122
Desmophyllum dianthus,167.25,-15.14999962
Desmophyllum dianthus,-91.59999847,0.230000004
Desmophyllum dianthus,-74.08300018,-52.88299942
Desmophyllum dianthus,-119.48702,33.92164
Desmophyllum dianthus,-119.3708,33.9958
Desmophyllum dianthus,179.822,-43.88666667
Desmophyllum dianthus,-177.183333,-44.735333
Desmophyllum dianthus,167.171661,-22.096666
Desmophyllum dianthus,-117.8012,32.7428
Desmophyllum dianthus,43.61000061,-32.40999985
Desmophyllum dianthus,167.3300018,-33.84999847
Desmophyllum dianthus,-179.982,-43.418333
Desmophyllum dianthus,149.8999939,-37.06999969
Desmophyllum dianthus,-72.67500305,38.76250076
Desmophyllum dianthus,174.8999939,-41.5
Desmophyllum dianthus,-66.30999756,-56.09999847
Desmophyllum dianthus,-174.610001,-44.246666
Desmophyllum dianthus,-32.95999908,36.84000015
Desmophyllum dianthus,-179.4900055,-48.31999969
Desmophyllum dianthus,174.4400024,-42.02999878
Desmophyllum dianthus,149.3332977,-38.34999847
Desmophyllum dianthus,-179.9853,-42.78617
Desmophyllum dianthus,167.6799927,-50.68000031
Desmophyllum dianthus,-32.95000076,36.84000015
Desmophyllum dianthus,173.2599945,-30.70999908
Desmophyllum dianthus,-11.68999958,51.33000183
Desmophyllum dianthus,150.116,-37.066
Desmophyllum dianthus,-179.733307,-43.900002
Desmophyllum dianthus,-129.8000031,-54.81000137
Desmophyllum dianthus,165.75,-50.95999908
Desmophyllum dianthus,-177.826706,-29.2467
Desmophyllum dianthus,166.725006,-20.488333
Desmophyllum dianthus,-8.09,47.83
Desmophyllum dianthus,172.7100067,-30.5
Desmophyllum dianthus,-12.77000046,52.13999939
Desmophyllum dianthus,-119.48167,33.91779
Desmophyllum dianthus,-178.4299927,-30.68000031
Desmophyllum dianthus,179.9333,-13.62
Desmophyllum dianthus,132.8699951,-5.480000019
Desmophyllum dianthus,167.6300049,-50.63000107
Desmophyllum dianthus,-118.80109,33.98749
Desmophyllum dianthus,-174.6908333,-44.1475
Desmophyllum dianthus,151.3800049,-34.34999847
Desmophyllum dianthus,163.49,-50.25
Desmophyllum dianthus,-6.579999924,35.77999878
Desmophyllum dianthus,-25.35000038,38.00999832
Desmophyllum dianthus,-87.1639,5.4083
Desmophyllum dianthus,167.88942,-23.717251
Desmophyllum dianthus,175.8000031,-44.13000107
Desmophyllum dianthus,-7.510000229,47.59999847
Desmophyllum dianthus,151.3800049,-34.36000061
Desmophyllum dianthus,149.266,-37.8
Desmophyllum dianthus,-67.62999725,40.18000031
Desmophyllum dianthus,-123.4833298,38.28332901
Desmophyllum dianthus,-118.40916,32.72362
Desmophyllum dianthus,-118.21619,32.01532
Desmophyllum dianthus,-72.44999695,-42.31999969
Desmophyllum dianthus,169.9799957,-33.25
Desmophyllum dianthus,-11.69999981,51.45000076
Desmophyllum dianthus,167.679993,-50.6833
Desmophyllum dianthus,-129.4799957,-54.49000168
Desmophyllum dianthus,167.6799927,-32.34999847
Desmophyllum dianthus,-117.41139,32.64681
Desmophyllum dianthus,-178.6499939,-30.52000046
Desmophyllum dianthus,-119.4816,33.91777
Desmophyllum dianthus,-73.68000031,-51.86000061
Desmophyllum dianthus,-121.9499969,36.59999847
Desmophyllum dianthus,-121.61825,36.05622
Desmophyllum dianthus,167.6600037,-50.65000153
Desmophyllum dianthus,-27.63999939,32.38000107
Desmophyllum dianthus,-15.64999962,55.58000183
Desmophyllum dianthus,-119.82849,33.28728
Desmophyllum dianthus,-118.1999969,33.29999924
Desmophyllum dianthus,-179.435167,-43.7325
Desmophyllum dianthus,5.130000114,60.15000153
Desmophyllum dianthus,-11.77999973,42.77000046
Desmophyllum dianthus,178.54,-35.3548
Desmophyllum dianthus,147.176355,-44.32485
Desmophyllum dianthus,43.94916534,-33.27416611
Desmophyllum dianthus,-174,-44.5
Desmophyllum dianthus,-179.5700073,-33.04000092
Desmophyllum dianthus,-16.18000031,33
Desmophyllum dianthus,149.833,-39.15
Desmophyllum dianthus,-174.5541667,-44.15733333
Desmophyllum dianthus,-117.41139,32.64683
Desmophyllum dianthus,-119.48519,33.92037
Desmophyllum dianthus,-119.48813,33.92547
Desmophyllum dianthus,-29.347,39.599
Desmophyllum dianthus,-119.47558,33.9221
Desmophyllum dianthus,169.7700043,-29.29999924
Desmophyllum dianthus,-29.8417,38.9857
Desmophyllum dianthus,179.6699982,-43.54999924
Desmophyllum dianthus,-119.48269,33.91848
Desmophyllum dianthus,-70.09999847,-20
Desmophyllum dianthus,176.516167,-36.506167
Desmophyllum dianthus,143.8332977,-41.09999847
Desmophyllum dianthus,-77,32
Desmophyllum dianthus,-117.41799,32.65424
Desmophyllum dianthus,-117.98499,32.64828
Desmophyllum dianthus,-11.75,51.43999863
Desmophyllum dianthus,77.52999878,-37.84999847
Desmophyllum dianthus,-175,-44.6
Desmophyllum dianthus,175.8846741,-44.34500122
Desmophyllum dianthus,167.0200043,-49.52999878
Desmophyllum dianthus,-119.47629,33.91862
Desmophyllum dianthus,147.8667,-47.35
Desmophyllum dianthus,178.5,-43.616667
Desmophyllum dianthus,-28.51000023,42.88000107
Desmophyllum dianthus,-179.0057983,-43.74869919
Desmophyllum dianthus,163.9830017,-49.83300018
Desmophyllum dianthus,-11.77999973,42.77999878
Desmophyllum dianthus,-179.988,-42.7913
Desmophyllum dianthus,178.5105,-35.3595
Desmophyllum dianthus,-17.06999969,32.63999939
Desmophyllum dianthus,-118.40814,32.72455
Desmophyllum dianthus,178.3745,-42.7772
Desmophyllum dianthus,-11.77000046,51.40999985
Desmophyllum dianthus,-174.721167,-44.136
Desmophyllum dianthus,-119.49104,33.92541
